
 NPM(K)    PM(M)      WS(M)     CPU(s)      Id  SI ProcessName
     10     2.45      12.17       0.03   15632   1 msedgewebview2
     27   101.97      14.40       3.86   15912   1 msedgewebview2
     62    66.51      45.08     115.72   16448   1 msedgewebview2
     10     2.46      12.09       0.05   16472   1 msedgewebview2
     33    90.96       7.27       2.22   16636   1 msedgewebview2
     25    14.79      18.89       7.84   16644   1 msedgewebview2
     12     9.87       5.23       1.78   16700   1 msedgewebview2
     54   379.77      64.87     168.91   16912   1 msedgewebview2
     16     9.02       3.71       2.22   18112   1 msedgewebview2
     27    72.29      89.70       1.47   20984   1 msedgewebview2
     21    14.87      45.94       3.08   21000   1 msedgewebview2
     10     2.45      12.17       0.05   22132   1 msedgewebview2
     60    42.70      75.76      44.17   22268   1 msedgewebview2
     23    35.79      53.29       4.83   22612   1 msedgewebview2
     16     8.95      26.17       1.22   22952   1 msedgewebview2
     23    33.74      70.25       0.89   23336   1 msedgewebview2
     32    24.31      78.71      17.53   26420   1 msedgewebview2
     23    14.64      46.19       6.55   28232   1 msedgewebview2
     61    67.82     169.57     180.94   28348   1 msedgewebview2
     10     2.43      12.10       0.14   28364   1 msedgewebview2
     56   214.44     291.31     214.55   28456   1 msedgewebview2
     12     9.50      23.21       0.61   28668   1 msedgewebview2
     69   213.09     156.66       0.00   14404   0 msmdsrv
    244   320.25     267.22       0.00    5200   0 MsMpEng
      9     1.87       5.36       0.00    4348   0 NgcIso
     11     4.48      14.92       0.00    4508   0 NisSrv
     29    39.24      74.06       0.00    4444   0 OfficeClickToRun
     67   124.28     198.99       6.39   26328   1 OneDrive
     33    40.81      59.25       1.45   29000   1 OneDrive.Sync.Service
     15     3.60       5.44       0.23   23284   1 ONENOTEM
    127   348.07     525.41     341.89   15780   1 OUTLOOK
     11     6.23      16.39       0.00    7924   0 PresentMonService
    178   562.65     704.13     134.72    6232   1 pwsh
     80    33.83     107.48      15.47   21388   1 pwsh
     22    11.98      42.36       0.00     228   0 Registry
     15    13.41      17.05       0.00    5016   0 RtkAudUService64
     14    12.96      18.01       3.00    7512   1 RtkAudUService64
     13     3.02      21.37       1.20    5988   1 RuntimeBroker
     15     7.94      31.22       2.58    6544   1 RuntimeBroker
     26    11.44      51.93      33.69    7708   1 RuntimeBroker
     24     9.57      49.84      25.97   10460   1 RuntimeBroker
      9     2.07      11.64       0.66   13276   1 RuntimeBroker
     13     3.02      23.66       0.50   26912   1 RuntimeBroker
     10     2.30      13.77       0.48   28200   1 RuntimeBroker
     44    61.80     149.24       5.56   10264   1 SearchHost
     20    35.57      58.49       0.00   15892   0 SearchIndexer
      0     0.17     105.88       0.00     188   0 Secure System
     22     8.22      25.25       0.00   13564   0 SecurityHealthService
     11     2.06      13.58       0.14   13524   1 SecurityHealthSystray
     18     7.32      20.86       0.00    1184   0 services
      6     0.75       4.69       0.00    4956   0 SessionService
     33    50.33     113.36       1.03   21276   1 ShellExperienceHost
